2021-06-02 17:52:41  INFO LoggerFactory:? - using logger: org.apache.dubbo.common.logger.log4j.Log4jLoggerAdapter
2021-06-02 17:53:15  INFO DruidDataSource:847 - {dataSource-1} inited
2021-06-02 17:53:17  INFO AbstractConfig:643 -  [DUBBO] Export dubbo service com.neu.couponserviceapi.service.CouponService to local registry url : injvm://127.0.0.1/com.neu.couponserviceapi.service.CouponService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.neu.couponserviceapi.service.CouponService&bind.ip=172.26.9.85&bind.port=20881&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.neu.couponserviceapi.service.CouponService&methods=userCouponList,saveUserCoupon,selectCouponByPrimaryKey,getCouponList,queryCouponNotice&pid=63422&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1622627592843, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:17  INFO AbstractConfig:581 -  [DUBBO] Export dubbo service com.neu.couponserviceapi.service.CouponService to url dubbo://172.26.9.85:20881/com.neu.couponserviceapi.service.CouponService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.neu.couponserviceapi.service.CouponService&bind.ip=172.26.9.85&bind.port=20881&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.neu.couponserviceapi.service.CouponService&methods=userCouponList,saveUserCoupon,selectCouponByPrimaryKey,getCouponList,queryCouponNotice&pid=63422&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1622627592843, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:17  INFO AbstractConfig:237 -  [DUBBO] There's no valid monitor config found, if you want to open monitor statistics for Dubbo, please make sure your monitor is configured properly., dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:17  INFO AbstractConfig:595 -  [DUBBO] Register dubbo service com.neu.couponserviceapi.service.CouponService url dubbo://172.26.9.85:20881/com.neu.couponserviceapi.service.CouponService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.neu.couponserviceapi.service.CouponService&bind.ip=172.26.9.85&bind.port=20881&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.neu.couponserviceapi.service.CouponService&methods=userCouponList,saveUserCoupon,selectCouponByPrimaryKey,getCouponList,queryCouponNotice&monitor=dubbo%3A%2F%2F127.0.0.1%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D63422%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D63422%2526register.ip%253D172.26.9.85%2526release%253D2.7.2%2526timestamp%253D1622627597885%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1622627592841&pid=63422&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1622627592843 to registry registry://127.0.0.1:2181/org.apache.dubbo.registry.RegistryService?application=coupon-app&dubbo=2.0.2&pid=63422&registry=zookeeper&release=2.7.2&timestamp=1622627592841, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:17  INFO AbstractServer:73 -  [DUBBO] Start NettyServer bind /0.0.0.0:20881, export /172.26.9.85:20881, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:17  INFO ZookeeperRegistry:280 -  [DUBBO] Register: dubbo://172.26.9.85:20881/com.neu.couponserviceapi.service.CouponService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.neu.couponserviceapi.service.CouponService&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.neu.couponserviceapi.service.CouponService&methods=userCouponList,saveUserCoupon,selectCouponByPrimaryKey,getCouponList,queryCouponNotice&pid=63422&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1622627592843, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:17  INFO ZookeeperRegistry:305 -  [DUBBO] Subscribe: provider://172.26.9.85:20881/com.neu.couponserviceapi.service.CouponService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.neu.couponserviceapi.service.CouponService&bind.ip=172.26.9.85&bind.port=20881&category=configurators&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.neu.couponserviceapi.service.CouponService&methods=userCouponList,saveUserCoupon,selectCouponByPrimaryKey,getCouponList,queryCouponNotice&monitor=dubbo%3A%2F%2F127.0.0.1%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D63422%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D63422%2526register.ip%253D172.26.9.85%2526release%253D2.7.2%2526timestamp%253D1622627597885%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1622627592841&pid=63422&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1622627592843, dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:17  INFO ZookeeperRegistry:399 -  [DUBBO] Notify urls for subscribe url provider://172.26.9.85:20881/com.neu.couponserviceapi.service.CouponService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.neu.couponserviceapi.service.CouponService&bind.ip=172.26.9.85&bind.port=20881&category=configurators&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.neu.couponserviceapi.service.CouponService&methods=userCouponList,saveUserCoupon,selectCouponByPrimaryKey,getCouponList,queryCouponNotice&monitor=dubbo%3A%2F%2F127.0.0.1%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D63422%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D63422%2526register.ip%253D172.26.9.85%2526release%253D2.7.2%2526timestamp%253D1622627597885%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1622627592841&pid=63422&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1622627592843, urls: [empty://172.26.9.85:20881/com.neu.couponserviceapi.service.CouponService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.neu.couponserviceapi.service.CouponService&bind.ip=172.26.9.85&bind.port=20881&category=configurators&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.neu.couponserviceapi.service.CouponService&methods=userCouponList,saveUserCoupon,selectCouponByPrimaryKey,getCouponList,queryCouponNotice&monitor=dubbo%3A%2F%2F127.0.0.1%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D63422%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D63422%2526register.ip%253D172.26.9.85%2526release%253D2.7.2%2526timestamp%253D1622627597885%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1622627592841&pid=63422&register=true&release=2.7.2&retries=0&side=provider&timeout=3000&timestamp=1622627592843], dubbo version: 2.7.2, current host: 172.26.9.85
2021-06-02 17:53:17  INFO ZookeeperMetadataReport:239 -  [DUBBO] store provider metadata. Identifier : org.apache.dubbo.metadata.identifier.MetadataIdentifier@1ce2025; definition: FullServiceDefinition{parameters={side=provider, release=2.7.2, methods=userCouponList,saveUserCoupon,selectCouponByPrimaryKey,getCouponList,queryCouponNotice, deprecated=false, dubbo=2.0.2, monitor=dubbo%3A%2F%2F127.0.0.1%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D63422%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D63422%2526register.ip%253D172.26.9.85%2526release%253D2.7.2%2526timestamp%253D1622627597885%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1622627592841, interface=com.neu.couponserviceapi.service.CouponService, timeout=3000, generic=false, accesslog=dubbo-access.log, retries=0, application=coupon-app, dynamic=true, register=true, bean.name=ServiceBean:com.neu.couponserviceapi.service.CouponService, anyhost=true}} ServiceDefinition [canonicalName=com.neu.couponserviceapi.service.CouponService, codeSource=file:/Users/neu/IdeaProjects/my-coupon/coupon-service-api/target/classes/, methods=[MethodDefinition [name=saveUserCoupon, parameterTypes=[com.neu.couponserviceapi.DTO.UserCouponDTO], returnType=java.lang.String], MethodDefinition [name=userCouponList, parameterTypes=[java.lang.Integer], returnType=java.util.List<com.neu.couponserviceapi.DTO.UserCouponInfoDTO>], MethodDefinition [name=queryCouponNotice, parameterTypes=[], returnType=java.util.List<com.neu.couponserviceapi.DTO.CouponNoticeDTO>], MethodDefinition [name=getCouponList, parameterTypes=[], returnType=java.util.List<com.neu.couponserviceapi.DTO.CouponDTO>], MethodDefinition [name=selectCouponByPrimaryKey, parameterTypes=[java.lang.Integer], returnType=com.neu.couponserviceapi.DTO.CouponDTO]]], dubbo version: 2.7.2, current host: 172.26.9.85
